customer_id,company_name,company_size,industry,signup_date,region,ARR,plan_type,onboarding_completion_days,customer_health_score,acquisition_channel,account_manager
CUS-00001,Hart-Robbins,501-1000,Education,2022-08-17,North America,26650,Growth,8,69,Referral,Patrick Smith
CUS-00002,Martin-Todd,201-500,Healthcare,2022-02-21,North America,339825,Enterprise,100,98,Inbound,Patrick Smith
CUS-00003,Garza-Chase,5000+,Finance,2023-07-18,North America,94221,Professional,25,98,Outbound,Amanda White
CUS-00004,"Hunter, Hill and Hardin",51-200,Healthcare,2023-05-17,EMEA,93272,Professional,14,76,Referral,Dawn Moore
CUS-00005,Graham-Goodwin,201-500,Education,2023-04-03,EMEA,7979,Starter,6,50,Partner,Elizabeth Martinez
CUS-00006,Gonzales-Morrison,501-1000,Healthcare,2022-10-13,APAC,7714,Starter,9,71,Referral,Todd Shah
CUS-00007,"Johnson, Mann and Bowman",1001-5000,Media,2022-07-29,North America,9010,Starter,10,69,Content,Dawn Moore
CUS-00008,"Brown, Wiley and Anderson",201-500,Real Estate,2025-01-21,EMEA,210821,Enterprise,22,87,Inbound,Christopher Hughes
CUS-00009,"Welch, Hanson and Wilson",501-1000,Real Estate,2022-06-28,APAC,50401,Professional,19,46,Referral,Lisa Bennett
CUS-00010,Stephens-Vega,51-200,Technology,2025-04-24,APAC,103492,Professional,30,88,Outbound,Dawn Moore
CUS-00011,Green-Davenport,201-500,Education,2024-05-14,APAC,10410,Starter,6,57,Partner,Dawn Moore
CUS-00012,"Burns, Lewis and Cardenas",1001-5000,Real Estate,2022-03-07,EMEA,510156,Enterprise,19,60,Inbound,Robert Brown
CUS-00013,Arroyo LLC,5000+,Logistics,2022-03-03,LATAM,342913,Enterprise,23,63,Inbound,Christopher Hughes
CUS-00014,Frederick Ltd,501-1000,Real Estate,2022-07-11,North America,6585,Starter,4,60,Outbound,Lisa Bennett
CUS-00015,Roach-Peterson,201-500,Media,2023-03-24,EMEA,5072,Starter,2,14,Outbound,Kenneth Carlson
CUS-00016,Weaver PLC,1001-5000,Professional Services,2023-04-22,North America,7323,Starter,5,50,Paid Search,Kenneth Carlson
CUS-00017,Cox Inc,1-50,Real Estate,2024-10-31,North America,37680,Growth,20,52,Referral,Elizabeth Martinez
CUS-00018,Patterson-Jones,1-50,Healthcare,2025-05-17,North America,53825,Growth,10,50,Content,James Smith
CUS-00019,Carey PLC,501-1000,Finance,2022-02-24,North America,33121,Growth,20,55,Referral,Christopher Hughes
CUS-00020,Berry-Harrison,51-200,Technology,2025-02-23,North America,21253,Growth,14,39,Outbound,Dawn Moore
CUS-00021,Bishop-Sanders,5000+,Real Estate,2023-02-12,North America,73494,Professional,25,85,Outbound,Amber Robertson
CUS-00022,Andrews and Sons,201-500,Education,2025-01-21,North America,7430,Starter,2,20,Outbound,Dominique Alexander
CUS-00023,"Munoz, Mccormick and Taylor",201-500,Professional Services,2024-05-09,APAC,28195,Growth,20,64,Outbound,Brent Smith
CUS-00024,Forbes Inc,501-1000,Healthcare,2023-03-28,North America,48113,Growth,14,49,Referral,Amanda Adkins
CUS-00025,Smith-Mccarthy,501-1000,Professional Services,2024-07-08,APAC,49445,Growth,5,91,Partner,Kenneth Carlson
CUS-00026,Holt-Lewis,201-500,Manufacturing,2025-04-21,North America,94149,Professional,32,70,Outbound,Marcus Chase
CUS-00027,"Ramirez, Lopez and Stewart",51-200,Manufacturing,2023-07-24,LATAM,10662,Starter,5,20,Inbound,Danny Smith
CUS-00028,Robinson-Williams,501-1000,Retail,2022-01-14,APAC,24584,Growth,14,70,Inbound,Dominique Alexander
CUS-00029,"Acosta, Bell and Cohen",51-200,Manufacturing,2022-11-23,EMEA,54965,Professional,30,53,Inbound,Elizabeth Martinez
CUS-00030,Smith-Perry,51-200,Manufacturing,2024-05-15,EMEA,18700,Starter,10,66,Inbound,Amber Robertson
CUS-00031,Watson and Sons,501-1000,Manufacturing,2023-11-28,North America,44358,Professional,15,79,Event,Robert Morris
